setting,step,eval_loss_lm,zero,swapped,shifted,inverted,perturb,batch_mix,temporal_mix,core
sigma_max=0.010,600,7.8928,2.4377,0.1458,0.1047,0.5989,0.0097,0.0335,0.0019,pass
sigma_max=0.010,1200,7.7181,1.6334,0.4140,-0.0139,0.8864,-0.0039,0.0229,-0.0242,fail
sigma_max=0.020,600,7.8460,0.9429,0.1886,0.0038,0.7039,0.0072,0.0375,-0.0013,fail
sigma_max=0.020,1200,7.6759,1.1605,0.6140,-0.0344,0.9968,0.0164,0.0557,-0.0142,fail
