diffusion_mode,solver_steps,runs,seeds,mean_eval_loss_lm,min_eval_loss_lm,mean_intervention_zero_delta,min_intervention_zero_delta,mean_intervention_swapped_delta,min_intervention_swapped_delta,mean_intervention_shifted_delta,min_intervention_shifted_delta,mean_intervention_perturbed_delta,min_intervention_perturbed_delta,mean_intervention_attenuated_delta,min_intervention_attenuated_delta,mean_intervention_inverted_delta,min_intervention_inverted_delta,mean_tokens_per_second,min_tokens_per_second
fixed,1,3,"721,722,723",4.025083998839061,3.9362111687660217,1.2295241355895996,0.8358950614929199,1.1858569780985515,0.9693841934204102,0.2236636479695638,0.12976646423339844,0.02596277991930644,0.016706854104995728,0.003739436467488607,-0.0017077922821044922,6.909965833028157,5.584768772125244,11961.325,10955.436
fixed,2,4,"710,711,712,713",3.9274289458990097,3.8118208050727844,1.8445711135864258,0.8418292999267578,1.3613038063049316,0.591221809387207,0.5675762891769409,0.17859649658203125,0.03940904513001442,0.016752183437347412,0.0014569759368896484,-0.0019240379333496094,8.535625100135803,0.7396965026855469,8142.76825,6395.948
fixed,4,3,"721,722,723",3.858334481716156,3.734159767627716,2.5334908962249756,2.1821975708007812,1.7434233824412029,1.5047640800476074,0.68004043896993,0.5661633014678955,0.03814481198787689,0.02964891493320465,0.002137263615926107,0.0009064674377441406,9.824846824010214,8.584283113479614,5293.770666666666,4910.383
ode,2,4,"710,711,712,713",4.011663168668747,3.852184772491455,1.791382074356079,0.30682945251464844,1.0975863933563232,0.13341379165649414,0.4710259437561035,0.03913402557373047,0.0020979195833206177,0.0005003511905670166,0.0006078481674194336,-0.002122163772583008,8.068752646446228,0.4660634994506836,8217.1585,7251.714
state_dependent,1,4,"720,721,722,723",3.9543332904577255,3.8553683757781982,1.6664116978645325,1.114448070526123,1.4692561030387878,1.1580390930175781,0.341383159160614,0.20822381973266602,0.024123311042785645,0.0015561282634735107,-0.0006183385848999023,-0.0024437904357910156,7.197787940502167,6.0087950229644775,10860.764,9925.379
state_dependent,2,5,"710,711,712,713,720",3.8756556391716,3.8190085887908936,1.809727716445923,1.3566913604736328,1.550511121749878,1.188643455505371,0.5989816188812256,0.5273556709289551,0.034707263112068176,0.020395442843437195,0.004947662353515625,-0.0016901493072509766,8.929325151443482,4.732977867126465,7947.7112,7210.803
state_dependent,4,4,"720,721,722,723",3.840019017457962,3.748620629310608,2.1586968302726746,1.5701022148132324,1.7031267285346985,1.5278236865997314,0.7070077061653137,0.6399550437927246,0.033456768840551376,0.02905486524105072,0.006958365440368652,0.0024275779724121094,10.319641888141632,7.776493549346924,4685.01375,4174.317
state_dependent,8,1,720,3.8168634176254272,3.8168634176254272,2.6519885063171387,2.6519885063171387,1.9329400062561035,1.9329400062561035,0.7202839851379395,0.7202839851379395,0.039831772446632385,0.039831772446632385,0.005423069000244141,0.005423069000244141,12.674715518951416,12.674715518951416,2690.338,2690.338
