diffusion_mode,runs,seeds,solver_steps,pair_trials,mean_eval_loss_lm,min_eval_loss_lm,mean_intervention_zero_delta,min_intervention_zero_delta,mean_intervention_swapped_delta,min_intervention_swapped_delta,mean_intervention_shifted_delta,min_intervention_shifted_delta,mean_intervention_mixed_delta,min_intervention_mixed_delta,mean_intervention_temporal_mixed_delta,min_intervention_temporal_mixed_delta,mean_intervention_perturbed_delta,min_intervention_perturbed_delta,mean_intervention_attenuated_delta,min_intervention_attenuated_delta,mean_intervention_inverted_delta,min_intervention_inverted_delta
fixed,4,"710,711,712,713",2,4.0,3.9702978879213333,3.8004115223884583,1.8291874080896378,0.9457623958587646,1.4391525238752365,0.7641969919204712,0.5917904525995255,0.20602130889892578,0.02225816249847412,-0.00028783082962036133,0.03731471300125122,0.015286147594451904,0.031110640615224838,0.002385087311267853,0.001493111252784729,-0.0009000897407531738,8.385090664029121,0.778571367263794
ode,4,"710,711,712,713",2,4.0,4.039578855037689,3.828211545944214,1.7982595562934875,0.26308679580688477,1.1612228751182556,0.08124256134033203,0.5565369725227356,0.04563188552856445,0.018355727195739746,-0.0027091503143310547,0.037039220333099365,0.0011639595031738281,0.0009589148685336113,-0.000860605388879776,0.0010396838188171387,-0.0004887580871582031,8.36549860239029,0.5066075325012207
state_dependent,4,"710,711,712,713",2,4.0,3.899313375353813,3.819190204143524,1.749978557229042,1.4576697945594788,1.59154911339283,1.346653401851654,0.6213322132825851,0.5056129693984985,0.022431224584579468,0.017732560634613037,0.042798757553100586,0.01644676923751831,0.036292863078415394,0.01821034401655197,0.0026447176933288574,0.0012285709381103516,8.82772321999073,4.658643543720245
